seed,sparsity_lambda,accuracy,mean_density,energy_uj,synops_m
42,0.0,88.5,36.7,100.65,111.83
43,0.0,87.27,37.61,106.41,118.24
44,0.0,88.39,36.29,101.51,112.79
42,0.01,87.29,37.41,105.63,117.36
42,0.05,86.36,34.93,90.06,100.07
43,0.05,86.77,34.55,88.22,98.03
44,0.05,88.45,35.16,91.4,101.55
42,0.1,88.24,33.48,82.22,91.35
42,0.5,88.44,25.58,41.9,46.55
42,1.0,88.52,22.03,31.38,34.87
43,1.0,90.28,19.92,25.89,28.77
44,1.0,88.6,21.67,33.62,37.36
42,2.0,88.67,16.45,21.0,23.33
42,5.0,87.27,9.07,6.72,7.47
42,10.0,86.21,5.82,2.87,3.18
