run,model,epoch,train_loss,train_acc,train_fire,val_loss,val_acc,val_fire
bntt,cnn,1,0.797,79.29,,0.3435,90.35,
bntt,cnn,2,0.2038,94.61,,0.2509,91.8,
bntt,cnn,3,0.1307,96.55,,0.1834,94.55,
bntt,cnn,4,0.0959,97.32,,0.201,93.15,
bntt,cnn,5,0.0781,97.62,,0.1471,94.95,
bntt,cnn,6,0.0569,98.32,,0.1279,96.4,
bntt,cnn,7,0.0464,98.74,,0.1259,95.75,
bntt,cnn,8,0.0355,99.1,,0.0772,97.3,
bntt,cnn,9,0.0229,99.52,,0.0685,97.7,
bntt,cnn,10,0.0169,99.69,,0.0682,97.45,
bntt,cnn,11,0.0128,99.9,,0.0626,97.6,
bntt,cnn,12,0.0108,99.88,,0.0606,97.85,
bntt,cnn,13,0.0089,99.96,,0.0597,97.85,
bntt,cnn,14,0.0079,99.95,,0.0609,97.65,
bntt,cnn,15,0.0077,99.99,,0.0593,97.75,
bntt,snn,1,1.7831,42.75,30.96,1.53,47.2,28.24
bntt,snn,2,1.0916,72.86,26.76,0.9188,76.85,26.16
bntt,snn,3,0.7239,85.26,25.2,0.6628,83.95,24.39
bntt,snn,4,0.5277,89.26,23.91,0.5975,84.5,24.03
bntt,snn,5,0.412,91.44,23.11,0.3652,92.25,22.82
bntt,snn,6,0.3395,92.56,22.47,0.6218,79.25,22.78
bntt,snn,7,0.2875,93.61,22.01,0.2933,93.35,22.28
bntt,snn,8,0.2507,94.42,21.78,0.4301,88.15,21.52
bntt,snn,9,0.2222,95.24,21.53,0.423,87.4,21.77
bntt,snn,10,0.2004,95.67,21.3,0.2264,94.25,21.57
bntt,snn,11,0.1835,96.19,21.21,0.2604,93.1,21.24
bntt,snn,12,0.1681,96.35,21.16,0.2018,94.9,21.39
bntt,snn,13,0.1575,96.69,21.04,0.1888,95.4,21.14
bntt,snn,14,0.1499,97.06,20.99,0.1808,95.55,21.2
bntt,snn,15,0.1458,97.31,21.0,0.1822,95.5,21.19
plain,snn,1,1.7738,43.71,30.83,1.4325,61.75,29.38
plain,snn,2,1.0768,75.09,27.54,1.5752,40.95,27.86
plain,snn,3,0.7286,85.64,26.18,1.3629,50.55,27.4
plain,snn,4,0.5469,89.31,25.2,1.3556,51.95,27.25
plain,snn,5,0.4356,91.35,24.63,1.1703,63.65,26.53
plain,snn,6,0.3722,92.03,24.23,1.1598,63.7,26.22
plain,snn,7,0.3178,92.97,23.89,2.4235,37.4,26.46
plain,snn,8,0.2823,93.65,23.63,1.4366,62.1,25.7
plain,snn,9,0.251,94.61,23.61,1.1207,66.1,25.62
plain,snn,10,0.2277,94.99,23.46,1.2264,64.2,25.42
plain,snn,11,0.2043,95.54,23.37,1.3047,63.65,25.38
plain,snn,12,0.1899,95.84,23.34,1.3694,62.85,25.6
plain,snn,13,0.1799,96.24,23.28,1.0821,65.85,25.33
plain,snn,14,0.1726,96.38,23.22,1.3356,62.45,25.36
plain,snn,15,0.1677,96.7,23.2,1.3546,62.1,25.32
